Date,Close
22/11/2017,8253.55
21/11/2017,8071.26
20/11/2017,8200.64
19/11/2017,8036.49
18/11/2017,7790.15
17/11/2017,7708.99
16/11/2017,7871.69
15/11/2017,7315.54
14/11/2017,6635.75
13/11/2017,6559.49
12/11/2017,5950.07
11/11/2017,6357.6
10/11/2017,6618.14
09/11/2017,7143.58
08/11/2017,7459.69
07/11/2017,7144.38
06/11/2017,7022.76
05/11/2017,7407.41
04/11/2017,7379.95
03/11/2017,7207.76
02/11/2017,7078.5
01/11/2017,6767.31
31/10/2017,6468.4
30/10/2017,6130.53
29/10/2017,6153.85
28/10/2017,5753.09
27/10/2017,5780.9
26/10/2017,5904.83
25/10/2017,5750.8
24/10/2017,5526.64
23/10/2017,5930.32
22/10/2017,6008.42
21/10/2017,6031.6
20/10/2017,6011.45
19/10/2017,5708.52
18/10/2017,5590.69
17/10/2017,5605.51
16/10/2017,5725.59
15/10/2017,5678.19
14/10/2017,5831.79
13/10/2017,5647.21
12/10/2017,5446.91
11/10/2017,4826.48
10/10/2017,4781.99
09/10/2017,4772.02
08/10/2017,4610.48
07/10/2017,4426.89
06/10/2017,4370.81
05/10/2017,4328.41
04/10/2017,4229.36
03/10/2017,4317.48
02/10/2017,4409.32
01/10/2017,4403.74
30/09/2017,4338.71
29/09/2017,4163.07
28/09/2017,4174.73
27/09/2017,4200.67
26/09/2017,3892.35
25/09/2017,3926.07
24/09/2017,3682.84
23/09/2017,3792.4
22/09/2017,3630.7
21/09/2017,3631.04
20/09/2017,3905.95
19/09/2017,3924.97
18/09/2017,4065.2
17/09/2017,3582.88
16/09/2017,3625.04
15/09/2017,3637.52
14/09/2017,3154.95
13/09/2017,3882.59
12/09/2017,4130.81
11/09/2017,4161.27
10/09/2017,4122.94
09/09/2017,4226.06
08/09/2017,4228.75
07/09/2017,4599.88
06/09/2017,4597.12
05/09/2017,4376.53
04/09/2017,4236.31
03/09/2017,4582.96
02/09/2017,4578.77
01/09/2017,4892.01
31/08/2017,4703.39
30/08/2017,4565.3
29/08/2017,4579.02
28/08/2017,4382.66
27/08/2017,4382.88
26/08/2017,4352.4
25/08/2017,4371.6
24/08/2017,4334.68
23/08/2017,4151.52
22/08/2017,4100.52
21/08/2017,4001.74
20/08/2017,4087.66
19/08/2017,4193.7
18/08/2017,4160.62
17/08/2017,4331.69
16/08/2017,4376.63
15/08/2017,4181.93
14/08/2017,4325.13
13/08/2017,4073.26
12/08/2017,3884.71
11/08/2017,3650.62
10/08/2017,3381.28
09/08/2017,3342.47
08/08/2017,3419.94
