date,growth
2013-10-18,99
2013-10-19,134
2013-10-20,83
2013-10-21,114
2013-10-22,134
2013-10-23,146
2013-10-24,111
2013-10-25,125
2013-10-26,110
2013-10-27,97
2013-10-28,101
2013-10-29,901
2013-10-30,403
2013-10-31,234
2013-11-01,200
2013-11-02,163
2013-11-03,211
2013-11-04,213
2013-11-05,245
2013-11-06,617
2013-11-07,736
2013-11-08,687
2013-11-09,498
2013-11-10,503
2013-11-11,554
2013-11-12,510
2013-11-13,875
2013-11-14,500
2013-11-15,320
2013-11-16,419
2013-11-17,651
2013-11-18,1296
2013-11-19,1176
2013-11-20,726
2013-11-21,629
2013-11-22,974
2013-11-23,609
2013-11-24,562
2013-11-25,849
2013-11-26,730
2013-11-27,1105
2013-11-28,1008
2013-11-29,601
2013-11-30,541
2013-12-01,900
2013-12-02,745
2013-12-03,543
2013-12-04,668
2013-12-05,922
2013-12-06,793
2013-12-07,798
2013-12-08,639
2013-12-09,754
2013-12-10,636
2013-12-11,553
2013-12-12,504
2013-12-13,323
2013-12-14,338
2013-12-15,606
2013-12-16,561
2013-12-17,438
2013-12-18,1813
2013-12-19,601
2013-12-20,304
2013-12-21,405
2013-12-22,294
2013-12-23,319
2013-12-24,249
2013-12-25,247
2013-12-26,339
2013-12-27,273
2013-12-28,300
2013-12-29,287
2013-12-30,195
2013-12-31,115
2014-01-01,221
2014-01-02,291
2014-01-03,295
2014-01-04,273
2014-01-05,335
2014-01-06,321
2014-01-07,347
2014-01-08,304
2014-01-09,372
2014-01-10,327
2014-01-11,324
2014-01-12,326
2014-01-13,244
2014-01-14,320
2014-01-15,316
2014-01-16,333
2014-01-17,231
2014-01-18,177
2014-01-19,253
2014-01-20,403
2014-01-21,326
2014-01-22,392
2014-01-23,358
2014-01-24,303
2014-01-25,275
2014-01-26,259
2014-01-27,401
2014-01-28,404
2014-01-29,481
2014-01-30,464
2014-01-31,303
2014-02-01,240
2014-02-02,198
2014-02-03,267
2014-02-04,246
2014-02-05,258
2014-02-06,368
2014-02-07,380
2014-02-08,245
2014-02-09,280
2014-02-10,454
2014-02-11,396
2014-02-12,264
2014-02-13,464
2014-02-14,424
2014-02-15,245
2014-02-16,282
2014-02-17,201
2014-02-18,207
2014-02-19,235
2014-02-20,281
2014-02-21,208
2014-02-22,206
2014-02-23,232
2014-02-24,416
2014-02-25,900
2014-02-26,679
2014-02-27,437
2014-02-28,487
2014-03-01,238
2014-03-02,298
2014-03-03,268
2014-03-04,261
2014-03-05,236
2014-03-06,389
2014-03-07,355
2014-03-08,202
2014-03-08,246
2014-03-09,195
2014-03-10,195
2014-03-11,213
2014-03-12,173
2014-03-13,176
2014-03-14,91
2014-03-15,70
2014-03-16,150
2014-03-17,131
2014-03-18,148
2014-03-19,112
2014-03-20,124
2014-03-21,128
2014-03-22,131
2014-03-23,136
2014-03-24,134
2014-03-25,131
2014-03-26,152
2014-03-27,181
2014-03-28,105
2014-03-29,121
2014-03-30,153
2014-03-31,127
2014-04-01,131
2014-04-02,104
2014-04-03,92
2014-04-04,63
2014-04-05,96
2014-04-06,57
2014-04-07,97
2014-04-08,80
2014-04-09,72
2014-04-10,161
2014-04-11,85
2014-04-12,73
2014-04-13,89
2014-04-14,58
2014-04-15,99
