date,growth
2017-01-21,104
2017-01-22,138
2017-01-23,125
2017-01-24,173
2017-01-25,105
2017-01-26,103
2017-01-27,91
2017-01-28,83
2017-01-29,142
2017-01-30,107
2017-01-31,166
2017-02-01,186
2017-02-02,189
2017-02-03,114
2017-02-04,131
2017-02-05,138
2017-02-06,152
2017-02-07,139
2017-02-08,210
2017-02-09,212
2017-02-10,118
2017-02-11,132
2017-02-12,111
2017-02-13,126
2017-02-14,136
2017-02-15,149
2017-02-16,112
2017-02-17,103
2017-02-18,110
2017-02-19,116
2017-02-20,142
2017-02-21,214
2017-02-22,156
2017-02-23,203
2017-02-24,167
2017-02-25,144
2017-02-26,69
2017-02-27,116
2017-02-28,161
2017-03-01,151
2017-03-02,213
2017-03-03,151
2017-03-04,150
2017-03-05,134
2017-03-06,201
2017-03-07,294
2017-03-08,264
2017-03-09,176
2017-03-10,323
2017-03-11,168
2017-03-11,136
2017-03-12,62
2017-03-13,63
2017-03-14,122
2017-03-15,68
2017-03-16,147
2017-03-17,110
2017-03-18,221
2017-03-19,138
2017-03-20,103
2017-03-21,154
2017-03-22,126
2017-03-23,154
2017-03-24,191
2017-03-25,137
2017-03-26,48
2017-03-27,81
2017-03-28,69
2017-03-29,102
2017-03-30,103
2017-03-31,68
2017-04-01,100
2017-04-02,119
2017-04-03,138
2017-04-04,159
2017-04-05,158
2017-04-06,74
2017-04-07,42
2017-04-08,82
2017-04-09,63
2017-04-10,84
2017-04-11,91
2017-04-12,70
2017-04-13,14
2017-04-14,99
2017-04-15,39
2017-04-16,76
2017-04-17,142
2017-04-18,96
2017-04-19,131
2017-04-20,129
2017-04-21,91
2017-04-22,115
2017-04-23,91
2017-04-24,81
2017-04-25,121
2017-04-26,194
2017-04-27,187
2017-04-28,130
2017-04-29,109
2017-04-30,163
2017-05-01,266
2017-05-02,345
2017-05-03,253
2017-05-04,449
2017-05-05,321
2017-05-06,507
2017-05-07,438
2017-05-08,409
2017-05-09,550
2017-05-10,441
2017-05-11,478
2017-05-12,408
2017-05-13,328
2017-05-14,298
2017-05-15,344
2017-05-16,348
2017-05-17,348
2017-05-18,391
2017-05-19,375
2017-05-20,389
2017-05-21,573
2017-05-22,1054
2017-05-23,890
2017-05-24,1092
2017-05-25,1684
2017-05-26,875
2017-05-27,918
2017-05-28,691
2017-05-29,595
2017-05-30,551
2017-05-31,570
2017-06-01,571
2017-06-02,490
2017-06-03,448
2017-06-04,462
2017-06-05,739
2017-06-06,1113
2017-06-07,806
2017-06-08,601
2017-06-09,472
2017-06-10,526
2017-06-11,701
2017-06-12,918
2017-06-13,679
2017-06-14,694
2017-06-15,991
2017-06-16,526
2017-06-17,562
2017-06-18,649
2017-06-19,528
2017-06-20,717
2017-06-21,722
2017-06-22,604
2017-06-23,562
2017-06-24,532
2017-06-25,545
2017-06-26,703
2017-06-27,689
2017-06-28,481
2017-06-29,527
2017-06-30,357
2017-07-01,449
2017-07-02,439
2017-07-03,526
2017-07-04,550
2017-07-05,508
2017-07-06,417
2017-07-07,428
2017-07-08,468
2017-07-09,495
2017-07-10,575
2017-07-11,943
2017-07-12,944
2017-07-13,714
2017-07-14,714
2017-07-15,714
2017-07-16,714
2017-07-17,714
2017-07-18,717
2017-07-19,449
2017-07-20,1222
2017-07-21,626
2017-07-22,614
2017-07-23,669
2017-07-24,609
2017-07-25,687
2017-07-26,609
2017-07-27,587
2017-07-28,589
2017-07-29,523
2017-07-30,850
2017-07-31,631
2017-08-01,1274
2017-08-02,865
2017-08-03,561
2017-08-04,879
2017-08-05,1282
2017-08-06,716
2017-08-07,828
2017-08-08,760
2017-08-09,669
2017-08-10,768
2017-08-11,921
2017-08-12,1280
2017-08-13,2479
2017-08-14,1484
2017-08-15,1662
2017-08-16,1092
2017-08-17,1311
2017-08-18,935
2017-08-19,820
2017-08-20,900
2017-08-21,858
2017-08-22,1041
2017-08-23,974
2017-08-24,947
2017-08-25,834
2017-08-26,674
2017-08-27,772
2017-08-28,725
2017-08-29,1414
2017-08-30,913
2017-08-31,1120
2017-09-01,1115
2017-09-02,1224
2017-09-03,896
2017-09-04,1633
2017-09-05,1060
2017-09-06,1420
2017-09-07,1657
2017-09-08,1458
2017-09-09,1100
2017-09-10,1074
2017-09-11,1145
2017-09-12,1115
2017-09-13,1689
2017-09-14,1940
2017-09-15,1891
2017-09-16,1146
2017-09-17,1209
2017-09-18,1341
2017-09-19,1025
2017-09-20,1117
2017-09-21,991
2017-09-22,885
2017-09-23,715
2017-09-24,933
2017-09-25,894
2017-09-26,865
2017-09-27,1310
2017-09-28,856
2017-09-29,751
2017-09-30,704
2017-10-01,929
2017-10-02,903
2017-10-03,1076
2017-10-04,878
2017-10-05,1077
2017-10-06,903
2017-10-07,903
2017-10-08,1130
2017-10-09,1130
2017-10-10,1161
2017-10-11,1161
2017-10-12,2302
2017-10-13,2302
2017-10-14,1383
2017-10-15,1611
2017-10-16,1421
2017-10-17,1415
2017-10-18,1574
2017-10-19,1156
2017-10-20,1481
2017-10-21,1481
2017-10-22,1481
2017-10-23,1525
2017-10-24,1601
2017-10-25,1278
2017-10-26,1407
2017-10-27,1055
2017-10-28,930
2017-10-29,1415
2017-10-30,1334
2017-10-31,1599
2017-11-01,2643
2017-11-02,3241
2017-11-03,2112
2017-11-04,2554
2017-11-05,2554
2017-11-06,2554
2017-11-07,2215
2017-11-08,2215
2017-11-09,2215
2017-11-10,2215
2017-11-11,2215
2017-11-12,2219
2017-11-13,2435
2017-11-14,1885
2017-11-15,1927
2017-11-16,2765
2017-11-17,2409
2017-11-18,2461
2017-11-19,2279
2017-11-20,2621
2017-11-21,2268
2017-11-22,1777
