time,close
1447218000,313.35
1447221600,313.96
1447225200,309.58
1447228800,313.07
1447232400,321.7
1447236000,322.44
1447239600,314.77
1447243200,318.61
1447246800,322.81
1447250400,318.79
1447254000,310.77
1447257600,308.13
1447261200,311.11
1447264800,308.75
1447268400,311.83
1447272000,311.75
1447275600,310.38
1447279200,301.86
1447282800,304.24
1447286400,312.87
1447290000,317.96
1447293600,319.1
1447297200,317.75
1447300800,317.96
1447304400,319.57
1447308000,332.84
1447311600,329.51
1447315200,331.62
1447318800,335.96
1447322400,337.62
1447326000,332.36
1447329600,331.34
1447333200,326.45
1447336800,324.15
1447340400,328.62
1447344000,325.89
1447347600,324.25
1447351200,330.78
1447354800,326.02
1447358400,326.49
1447362000,325.67
1447365600,328.12
1447369200,334.11
1447372800,335.52
1447376400,340.69
1447380000,336.38
1447383600,337.14
1447387200,339.03
1447390800,337.96
1447394400,337.26
1447398000,337.49
1447401600,328.47
1447405200,327.89
1447408800,327.94
1447412400,327.06
1447416000,325.02
1447419600,328.55
1447423200,332.13
1447426800,329.45
1447430400,329.5
1447434000,330.77
1447437600,331.14
1447441200,330.56
1447444800,331.18
1447448400,333.73
1447452000,332.58
1447455600,333.87
1447459200,336.51
1447462800,333.22
1447466400,333.84
1447470000,334.68
1447473600,335.33
1447477200,337.29
1447480800,334.37
1447484400,334.99
1447488000,333.79
1447491600,334.89
1447495200,332.94
1447498800,332.57
1447502400,331.71
1447506000,330.87
1447509600,329.96
1447513200,331.13
1447516800,332.07
1447520400,331.23
1447524000,331.35
1447527600,332.71
1447531200,332.22
1447534800,332.99
1447538400,332.52
1447542000,331.76
1447545600,332.05
1447549200,333.85
1447552800,334.56
1447556400,333.65
1447560000,332
1447563600,333
1447567200,332.74
1447570800,333.21
1447574400,331.31
1447578000,333.12
1447581600,332.95
1447585200,331.93
1447588800,332.03
1447592400,331.27
1447596000,316.79
1447599600,319.41
1447603200,321.03
1447606800,322
1447610400,322.16
1447614000,323.32
1447617600,322.17
1447621200,322.82
1447624800,315.67
1447628400,317.77
1447632000,319.02
1447635600,318.95
1447639200,315.77
1447642800,318.25
1447646400,317.8
1447650000,319.49
1447653600,319.84
1447657200,319.26
1447660800,318.5
1447664400,318.9
1447668000,318.21
1447671600,318.83
1447675200,317.78
1447678800,317.43
1447682400,318.52
1447686000,320.14
1447689600,319.37
1447693200,320.2
1447696800,329.52
1447700400,328.59
1447704000,328.59
1447707600,330.51
1447711200,330.14
1447714800,330.36
1447718400,330.04
1447722000,331.2
1447725600,337.6
1447729200,337.46
1447732800,334.66
1447736400,334.8
1447740000,333.69
1447743600,334.31
1447747200,332.7
1447750800,332.69
1447754400,330.29
1447758000,330.89
1447761600,336.11
1447765200,335.89
1447768800,332.53
1447772400,333.31
1447776000,333.38
1447779600,332.31
1447783200,333.24
1447786800,333.57
1447790400,334.1
1447794000,333.32
1447797600,335.77
1447801200,333.83
1447804800,332.85
1447808400,335.5
1447812000,335.38
1447815600,334.19
1447819200,333.42
1447822800,333.71
1447826400,331.4
1447830000,332.26
1447833600,332.61
1447837200,331.73
1447840800,331.54
1447844400,331.97
1447848000,332.54
1447851600,334.48
1447855200,332.54
1447858800,332.71
1447862400,332.98
1447866000,332.85
1447869600,333.22
1447873200,333.76
1447876800,334.57
1447880400,333.59
1447884000,335.55
1447887600,335.59
1447891200,334.75
1447894800,334.12
1447898400,333.45
1447902000,333.88
1447905600,333.96
1447909200,333.68
1447912800,333.96
1447916400,332.94
1447920000,333.35
1447923600,333.52
1447927200,333.21
1447930800,332.27
1447934400,334.34
1447938000,326.46
1447941600,328.3
1447945200,326.62
1447948800,326.49
1447952400,326.65
1447956000,327.16
1447959600,327.52
1447963200,327.11
1447966800,327
1447970400,326.58
1447974000,325.19
1447977600,326.48
1447981200,320.53
1447984800,312.69
1447988400,317.02
1447992000,316.17
1447995600,316.73
1447999200,316.24
1448002800,312.42
1448006400,317.74
1448010000,318.2
1448013600,321.29
1448017200,320.89
1448020800,322.54
1448024400,321.3
1448028000,322.29
1448031600,322.01
1448035200,321.02
1448038800,321.28
1448042400,320.54
1448046000,319.63
1448049600,319.49
1448053200,321.19
1448056800,321.14
1448060400,321.13
1448064000,320.38
1448067600,318.82
1448071200,320.25
1448074800,320.9
1448078400,320.78
1448082000,321.45
1448085600,326.74
1448089200,327.07
1448092800,326
1448096400,326.5
1448100000,327.09
1448103600,326.86
1448107200,326.75
1448110800,326.26
1448114400,324.9
1448118000,324.21
1448121600,324.48
1448125200,325.05
1448128800,325.47
1448132400,324.42
1448136000,324.46
1448139600,325.04
1448143200,324.52
1448146800,324.65
1448150400,326.47
1448154000,326.63
1448157600,325.62
1448161200,326.59
1448164800,326.09
1448168400,325.66
1448172000,324.99
1448175600,325.1
1448179200,325.3
1448182800,324.92
1448186400,324.65
1448190000,323.99
1448193600,321.67
1448197200,322
1448200800,321.27
1448204400,321.89
1448208000,322.05
1448211600,322.02
1448215200,322.26
1448218800,321.22
1448222400,321.76
1448226000,323.68
1448229600,323.3
1448233200,323.06
1448236800,322.63
1448240400,322.49
1448244000,323.71
1448247600,322.84
1448251200,322.43
1448254800,321.88
1448258400,322.2
1448262000,320.83
1448265600,321.22
1448269200,320.97
1448272800,322.2
1448276400,322.77
1448280000,321.98
1448283600,322.52
1448287200,322.87
1448290800,323.86
1448294400,322.9
1448298000,323.33
1448301600,323.23
1448305200,322.95
1448308800,322.45
1448312400,322.85
1448316000,322.65
1448319600,322.44
1448323200,322.14
1448326800,321.05
1448330400,318.25
1448334000,319.69
1448337600,319.61
1448341200,319.53
1448344800,320.92
1448348400,320.96
1448352000,321.01
1448355600,320.42
1448359200,320.96
1448362800,321.29
1448366400,320.63
1448370000,320.97
1448373600,320.71
1448377200,320.24
1448380800,320.89
1448384400,321.04
1448388000,320.98
1448391600,320.11
1448395200,319.77
1448398800,320.42
1448402400,319.25
1448406000,318.38
1448409600,319.81
1448413200,319.28
1448416800,318.36
1448420400,316.91
1448424000,318.4
1448427600,318.32
1448431200,319.05
1448434800,318.35
1448438400,318.54
1448442000,318.29
1448445600,318.34
1448449200,321.91
1448452800,324.91
1448456400,325.32
1448460000,324.04
1448463600,323.35
1448467200,324.67
1448470800,324.67
1448474400,324.43
1448478000,325.72
1448481600,328.14
1448485200,328.79
1448488800,327.27
1448492400,327.5
1448496000,328.43
1448499600,330.61
1448503200,331.29
1448506800,331.39
1448510400,332.67
1448514000,332.79
1448517600,332.15
1448521200,333.18
1448524800,339.31
1448528400,338.14
1448532000,346.82
1448535600,348.98
1448539200,364.34
1448542800,353.37
1448546400,353.08
1448550000,348.97
1448553600,341.11
1448557200,342.26
1448560800,344.95
1448564400,343.27
1448568000,342.89
1448571600,342.96
1448575200,346.77
1448578800,353.61
1448582400,351.64
1448586000,352.72
1448589600,351.78
1448593200,351.03
1448596800,347.45
1448600400,349.4
1448604000,349.66
1448607600,347.55
1448611200,358.41
1448614800,361.98
1448618400,360.27
1448622000,360.9
1448625600,356.94
1448629200,356.3
1448632800,354.89
1448636400,354.18
1448640000,354.56
1448643600,356.46
1448647200,357.87
1448650800,358.27
1448654400,359.37
1448658000,358.57
1448661600,358.07
1448665200,359.71
1448668800,352.02
1448672400,355.42
1448676000,355.45
1448679600,353.2
1448683200,354.1
1448686800,356.95
1448690400,356
1448694000,356.14
1448697600,356.67
1448701200,353.53
1448704800,355.31
1448708400,353.39
1448712000,353.2
1448715600,352.49
1448719200,353.75
1448722800,353.39
1448726400,353.8
1448730000,353.85
1448733600,353.72
1448737200,355.5
1448740800,356.12
1448744400,355.07
1448748000,355.29
1448751600,355.85
1448755200,357.55
1448758800,357.69
1448762400,356.68
1448766000,357.29
1448769600,356
1448773200,355.38
1448776800,356.43
1448780400,356.35
1448784000,356.67
1448787600,356.74
1448791200,355.74
1448794800,357.76
1448798400,362.24
1448802000,362.67
1448805600,361.79
1448809200,361.32
1448812800,362.02
1448816400,363.08
1448820000,363.58
1448823600,362.97
1448827200,364.71
1448830800,364.87
1448834400,370.2
1448838000,371.03
1448841600,370.98
1448845200,377.29
1448848800,378
1448852400,373.82
1448856000,375.83
1448859600,374.67
1448863200,381.33
1448866800,379.5
1448870400,376.12
1448874000,380.32
1448877600,376.57
1448881200,378.08
1448884800,376.61
1448888400,376.43
1448892000,369.38
1448895600,372.6
1448899200,373.4
1448902800,374.24
1448906400,373.39
1448910000,376.85
1448913600,374.87
1448917200,376.42
1448920800,378.4
1448924400,378.03
1448928000,378.57
1448931600,376.29
1448935200,377
1448938800,377.42
1448942400,377.72
1448946000,377.18
1448949600,376.9
1448953200,378.13
1448956800,372.94
1448960400,364.1
1448964000,358.99
1448967600,358.19
1448971200,359.7
1448974800,361.84
1448978400,360.32
1448982000,363.45
1448985600,361.18
1448989200,357.73
1448992800,360.21
1448996400,362.35
1449000000,361.4
1449003600,361.55
1449007200,362.63
1449010800,362.03
1449014400,361.18
1449018000,352.28
1449021600,350.18
1449025200,351.43
1449028800,350.81
1449032400,353.89
1449036000,353.78
1449039600,353.37
1449043200,355.14
1449046800,353.63
1449050400,352.17
1449054000,353.22
1449057600,352
1449061200,352.49
1449064800,357.68
1449068400,357.43
1449072000,359.06
1449075600,361.36
1449079200,359.81
1449082800,358.7
1449086400,358.82
1449090000,359.76
1449093600,359.17
1449097200,360.27
1449100800,358.39
1449104400,359.09
1449108000,361.53
1449111600,365.35
1449115200,369.81
1449118800,367.17
1449122400,367.87
1449126000,364.86
1449129600,360.32
1449133200,362.08
1449136800,359.25
1449140400,357.5
1449144000,358.86
1449147600,360.52
1449151200,360.51
1449154800,359.32
1449158400,359.12
1449162000,361.46
1449165600,361.93
1449169200,362.58
1449172800,362.29
1449176400,361.63
1449180000,360.75
1449183600,360.36
1449187200,361.71
1449190800,360.67
1449194400,355.67
1449198000,358.53
1449201600,358.43
1449205200,358.26
1449208800,358.42
1449212400,356.98
1449216000,357.75
1449219600,358.93
1449223200,359.08
1449226800,356.91
1449230400,358.61
1449234000,360.13
1449237600,360.27
1449241200,361.76
1449244800,361.7
1449248400,360.94
1449252000,360.26
1449255600,361.27
1449259200,361.78
1449262800,361.13
1449266400,361.7
1449270000,361.79
1449273600,363.24
1449277200,366.08
1449280800,366.33
1449284400,370.16
1449288000,373.52
1449291600,370.29
1449295200,372.36
1449298800,370.83
1449302400,370.96
1449306000,370.11
1449309600,373.04
1449313200,380.96
1449316800,378.92
1449320400,377.13
1449324000,374.26
1449327600,377.95
1449331200,378.21
1449334800,377.13
1449338400,378.33
1449342000,378.52
1449345600,377.29
1449349200,378.11
1449352800,377.42
1449356400,386.13
1449360000,391.29
1449363600,393.08
1449367200,393.36
1449370800,394.42
1449374400,394.41
1449378000,399.57
1449381600,397.43
1449385200,393.86
1449388800,392.8
1449392400,390.68
1449396000,389.72
1449399600,392.73
1449403200,392.21
1449406800,388.81
1449410400,390.04
1449414000,393.28
1449417600,394.47
1449421200,392.48
1449424800,392.86
1449428400,396.4
1449432000,393.86
1449435600,395.12
1449439200,394.02
1449442800,393.71
1449446400,385.97
1449450000,391.26
1449453600,390.78
1449457200,392.68
1449460800,390.97
1449464400,388.49
1449468000,390.63
1449471600,390.91
1449475200,390.64
1449478800,388.9
1449482400,394.54
1449486000,393.61
1449489600,394.85
1449493200,392.88
1449496800,393.46
1449500400,396.18
1449504000,394.66
1449507600,391.75
1449511200,394.17
1449514800,393.91
1449518400,393.74
1449522000,393.68
1449525600,392.34
1449529200,394.75
1449532800,393.19
