time,close,high,low,open,volumefrom,volumeto
1.410696E+09,4.7826E+02,4.7875E+02,4.711E+02,4.7504E+02,6.8669E+02,3.285242E+05
1.4107068E+09,4.7763E+02,4.7896E+02,4.7584E+02,4.7826E+02,5.3078E+02,2.5790491E+05
1.4107176E+09,4.7703E+02,4.7936E+02,4.7591E+02,4.7763E+02,6.1914E+02,3.0283692E+05
1.4107284E+09,4.7751E+02,4.7861E+02,4.7526E+02,4.7703E+02,3.7666999999999996E+02,1.845651E+05
1.4107392E+09,4.7619E+02,4.7814E+02,4.756E+02,4.7751E+02,4.5869999999999993E+02,2.2264759000000003E+05
1.41075E+09,4.7795E+02,4.7806E+02,4.7634E+02,4.7619E+02,6.3352E+02,3.0477016E+05
1.4107608E+09,4.7722E+02,4.7822E+02,4.7676E+02,4.7795E+02,4.5515999999999997E+02,2.1914933000000002E+05
1.4107716E+09,4.7414E+02,4.7842E+02,4.7317E+02,4.7722E+02,6.520699999999999E+02,3.1208395E+05
1.4107824E+09,4.7782E+02,4.7877E+02,4.7501E+02,4.7414E+02,6.6114E+02,3.2080835E+05
1.4107932E+09,4.7749E+02,4.7805E+02,4.7643E+02,4.7782E+02,1.08155E+03,5.3720175E+05
1.410804E+09,4.7626E+02,4.7749E+02,4.758E+02,4.7749E+02,7.1996E+02,3.6053143E+05
1.4108148E+09,4.7789E+02,4.7803E+02,4.7662E+02,4.7626E+02,9.6773E+02,4.762696699999999E+05
1.4108256E+09,4.7643E+02,4.7833E+02,4.7385E+02,4.7789E+02,1.0391299999999999E+03,5.0429502E+05
1.4108364E+09,4.7511E+02,4.7751E+02,4.7137E+02,4.7643E+02,6.2827E+02,3.0334512E+05
1.4108472E+09,4.7336E+02,4.7532E+02,4.7224E+02,4.7511E+02,4.3040999999999997E+02,2.0483765E+05
1.410858E+09,4.7523E+02,4.7731E+02,4.7158E+02,4.7336E+02,6.474699999999999E+02,3.0920556E+05
1.4108688E+09,4.7174E+02,4.7776E+02,4.7174E+02,4.7523E+02,5.756899999999999E+02,2.7606716000000003E+05
1.4108796E+09,4.7046E+02,4.7305E+02,4.6934E+02,4.7174E+02,9.8525E+02,4.7641482E+05
1.4108904E+09,4.7012E+02,4.7112E+02,4.6907E+02,4.7046E+02,1.26751E+03,6.118278099999999E+05
1.4109012E+09,4.6553E+02,4.6962E+02,4.6361E+02,4.7012E+02,9.486299999999999E+02,4.5356137999999995E+05
1.410912E+09,4.6655E+02,4.6795E+02,4.664E+02,4.6553E+02,6.8639E+02,3.267278E+05
