time,close,high,low,open,volumefrom,volumeto
1.4473152E+09,3.3162E+02,3.3508E+02,3.2818E+02,3.2951E+02,5.19121E+03,1.72795115E+06
1.4473188E+09,3.3596E+02,3.378E+02,3.3049E+02,3.3162E+02,6.27173E+03,2.09923185E+06
1.4473224E+09,3.3762E+02,3.4667E+02,3.3528E+02,3.3596E+02,1.650616E+04,5.6493818E+06
1.447326E+09,3.3236E+02,3.3859E+02,3.2927E+02,3.3762E+02,9.72979E+03,3.25123368E+06
1.4473296E+09,3.3134E+02,3.3617E+02,3.3066E+02,3.3236E+02,3.94752E+03,1.31971288E+06
1.4473332E+09,3.2645E+02,3.3401E+02,3.2504E+02,3.3134E+02,5.96057E+03,1.96970843E+06
1.4473368E+09,3.2415E+02,3.2844E+02,3.2155E+02,3.2645E+02,7.20262E+03,2.35008071E+06
1.4473404E+09,3.2862E+02,3.3199E+02,3.2332E+02,3.2415E+02,5.97557E+03,1.97277802E+06
1.447344E+09,3.2589E+02,3.3E+02,3.2297E+02,3.2862E+02,5.95641E+03,1.95571418E+06
1.4473476E+09,3.2425E+02,3.2824E+02,3.235E+02,3.2589E+02,4.68809E+03,1.53050508E+06
1.4473512E+09,3.3078E+02,3.3303E+02,3.2395E+02,3.2425E+02,4.66575E+03,1.53742188E+06
1.4473548E+09,3.2602E+02,3.3129E+02,3.239E+02,3.3078E+02,4.73197E+03,1.55946081E+06
1.4473584E+09,3.2649E+02,3.29E+02,3.2534E+02,3.2602E+02,3.46149E+03,1.14067704E+06
1.447362E+09,3.2567E+02,3.2848E+02,3.2405E+02,3.2649E+02,4.84926E+03,1.58364394E+06
1.4473656E+09,3.2812E+02,3.2927E+02,3.2361E+02,3.2567E+02,4.31247E+03,1.41146807E+06
1.4473692E+09,3.3411E+02,3.3588E+02,3.275E+02,3.2812E+02,1.044662E+04,3.48746172E+06
1.4473728E+09,3.3552E+02,3.3896E+02,3.3291E+02,3.3411E+02,3.86798E+03,1.29915246E+06
1.4473764E+09,3.4069E+02,3.4088E+02,3.3548E+02,3.3552E+02,3.31498E+03,1.12346748E+06
1.44738E+09,3.3638E+02,3.4173E+02,3.3427E+02,3.4069E+02,5.90259E+03,2.00866735E+06
1.4473836E+09,3.3714E+02,3.389E+02,3.3517E+02,3.3638E+02,2.36267E+03,7.9973132E+05
1.4473872E+09,3.3903E+02,3.4039E+02,3.3506E+02,3.3714E+02,3.0131E+03,1.01981703E+06
1.4473908E+09,3.3796E+02,3.4135E+02,3.3619E+02,3.3903E+02,5.77856E+03,1.96052724E+06
1.4473944E+09,3.3726E+02,3.4023E+02,3.3533E+02,3.3796E+02,2.5276E+03,8.5678665E+05
1.447398E+09,3.3749E+02,3.3919E+02,3.3636E+02,3.3726E+02,2.77799E+03,9.4208485E+05
1.4474016E+09,3.2847E+02,3.3774E+02,3.2715E+02,3.3749E+02,8.92385E+03,2.96580516E+06
1.4474052E+09,3.2789E+02,3.3026E+02,3.2424E+02,3.2847E+02,5.23431E+03,1.71744028E+06
1.4474088E+09,3.2794E+02,3.3089E+02,3.2691E+02,3.2789E+02,3.58136E+03,1.18219165E+06
1.4474124E+09,3.2706E+02,3.3007E+02,3.2646E+02,3.2794E+02,2.35123E+03,7.7315242E+05
1.447416E+09,3.2502E+02,3.2887E+02,3.2436E+02,3.2706E+02,4.3483E+03,1.42312377E+06
1.4474196E+09,3.2855E+02,3.2876E+02,3.2466E+02,3.2502E+02,2.47469E+03,8.1241997E+05
1.4474232E+09,3.3213E+02,3.36E+02,3.2834E+02,3.2855E+02,6.64138E+03,2.21204377E+06
1.4474268E+09,3.2945E+02,3.3267E+02,3.282E+02,3.3213E+02,4.17769E+03,1.38350487E+06
1.4474304E+09,3.295E+02,3.3172E+02,3.284E+02,3.2945E+02,3.65125E+03,1.21127485E+06
1.447434E+09,3.3077E+02,3.3128E+02,3.2802E+02,3.295E+02,2.49544E+03,8.2374875E+05
1.4474376E+09,3.3114E+02,3.3191E+02,3.2929E+02,3.3077E+02,2.62262E+03,8.6923191E+05
1.4474412E+09,3.3056E+02,3.335E+02,3.2921E+02,3.3114E+02,3.23132E+03,1.07324523E+06
1.4474448E+09,3.3118E+02,3.3247E+02,3.2977E+02,3.3056E+02,2.93215E+03,9.7185077E+05
1.4474484E+09,3.3373E+02,3.3411E+02,3.3014E+02,3.3118E+02,3.3981E+03,1.13096905E+06
1.447452E+09,3.3258E+02,3.3385E+02,3.3027E+02,3.3373E+02,2.95754E+03,9.8499381E+05
1.4474556E+09,3.3387E+02,3.3954E+02,3.3264E+02,3.3258E+02,8.68112E+03,2.9350683E+06
1.4474592E+09,3.3651E+02,3.3772E+02,3.3393E+02,3.3387E+02,2.08509E+03,7.0161861E+05
1.4474628E+09,3.3322E+02,3.3684E+02,3.316E+02,3.3651E+02,3.94637E+03,1.32263385E+06
1.4474664E+09,3.3384E+02,5.1412E+02,3.3065E+02,3.3322E+02,3.58336E+03,1.23836474E+06
1.44747E+09,3.3468E+02,3.3595E+02,3.333E+02,3.3384E+02,1.32168E+03,4.4675226E+05
1.4474736E+09,3.3533E+02,3.3664E+02,3.3316E+02,3.3468E+02,1.46563E+03,4.9082326E+05
1.4474772E+09,3.3729E+02,3.3777E+02,3.3452E+02,3.3533E+02,1.96668E+03,6.6227862E+05
1.4474808E+09,3.3437E+02,3.3829E+02,3.3204E+02,3.3729E+02,8.62413E+03,2.90237765E+06
1.4474844E+09,3.3499E+02,3.3571E+02,3.3184E+02,3.3437E+02,2.19411E+03,7.3267396E+05
1.447488E+09,3.3379E+02,3.3553E+02,3.3285E+02,3.3499E+02,1.0113E+03,3.3810503E+05
1.4474916E+09,3.3489E+02,3.3607E+02,3.3281E+02,3.3379E+02,8.6727E+02,2.8998018E+05
1.4474952E+09,3.3294E+02,3.3652E+02,3.3248E+02,3.3489E+02,1.93884E+03,6.489722E+05
1.4474988E+09,3.3257E+02,3.3475E+02,3.3193E+02,3.3294E+02,1.02529E+03,3.4264255E+05
1.4475024E+09,3.3171E+02,3.3323E+02,3.2978E+02,3.3257E+02,1.77749E+03,5.9045896E+05
1.447506E+09,3.3087E+02,3.3185E+02,3.3012E+02,3.3171E+02,1.42313E+03,4.7116277E+05
1.4475096E+09,3.2996E+02,3.3203E+02,3.276E+02,3.3087E+02,4.04225E+03,1.335977E+06
1.4475132E+09,3.3113E+02,3.3209E+02,3.2866E+02,3.2996E+02,2.86834E+03,9.509055E+05
1.4475168E+09,3.3207E+02,3.3282E+02,3.3056E+02,3.3113E+02,2.11432E+03,7.0723934E+05
1.4475204E+09,3.3123E+02,3.3324E+02,3.3099E+02,3.3207E+02,1.67239E+03,5.5612285E+05
1.447524E+09,3.3135E+02,3.3217E+02,3.3088E+02,3.3123E+02,1.22809E+03,4.0701817E+05
1.4475276E+09,3.3271E+02,3.3361E+02,3.3079E+02,3.3135E+02,1.68128E+03,5.5934089E+05
1.4475312E+09,3.3222E+02,3.3302E+02,3.3126E+02,3.3271E+02,1.51158E+03,5.0276554E+05
1.4475348E+09,3.3299E+02,3.3356E+02,3.32E+02,3.3222E+02,1.159E+03,3.9480682E+05
1.4475384E+09,3.3252E+02,3.3336E+02,3.314E+02,3.3299E+02,1.76474E+03,5.8703558E+05
1.447542E+09,3.3176E+02,3.4972E+02,3.2667E+02,3.3252E+02,1.983694E+04,6.65604158E+06
1.4475456E+09,3.3205E+02,3.3361E+02,3.3112E+02,3.3176E+02,1.77193E+03,5.9451718E+05
1.4475492E+09,3.3385E+02,3.3439E+02,3.3168E+02,3.3205E+02,2.42013E+03,8.0753941E+05
1.4475528E+09,3.3456E+02,3.3483E+02,3.3294E+02,3.3385E+02,1.91139E+03,6.4058189E+05
1.4475564E+09,3.3365E+02,3.3471E+02,3.3274E+02,3.3456E+02,8.7647E+02,2.9503179E+05
1.44756E+09,3.32E+02,3.3383E+02,3.3189E+02,3.3365E+02,1.54168E+03,5.1445276E+05
1.4475636E+09,3.33E+02,3.3365E+02,3.3162E+02,3.32E+02,8.3863E+02,2.7960468E+05
1.4475672E+09,3.3274E+02,3.3363E+02,3.3173E+02,3.33E+02,7.0929E+02,2.3762787E+05
1.4475708E+09,3.3321E+02,3.3373E+02,3.3239E+02,3.3274E+02,7.0678E+02,2.359007E+05
1.4475744E+09,3.3131E+02,3.3225E+02,3.3057E+02,3.3321E+02,1.07701E+03,3.5801456E+05
1.447578E+09,3.3312E+02,3.3314E+02,3.3098E+02,3.3131E+02,1.85073E+03,6.170418E+05
1.4475816E+09,3.3295E+02,3.3372E+02,3.3234E+02,3.3312E+02,5.8056E+02,1.9372421E+05
1.4475852E+09,3.3193E+02,3.3378E+02,3.3075E+02,3.3295E+02,1.69148E+03,5.627901E+05
1.4475888E+09,3.3203E+02,3.3309E+02,3.3105E+02,3.3193E+02,1.12731E+03,3.7613518E+05
1.4475924E+09,3.3127E+02,3.3223E+02,3.3055E+02,3.3203E+02,1.36532E+03,4.5504967E+05
1.447596E+09,3.1679E+02,3.3246E+02,3.1413E+02,3.3127E+02,1.713169E+04,5.53064818E+06
1.4475996E+09,3.1941E+02,3.2205E+02,3.1571E+02,3.1679E+02,1.023265E+04,3.27689745E+06
1.4476032E+09,3.2103E+02,3.2248E+02,3.1808E+02,3.1941E+02,2.82076E+03,9.0563601E+05
1.4476068E+09,3.22E+02,3.244E+02,3.1964E+02,3.2103E+02,6.83709E+03,2.21611639E+06
1.4476104E+09,3.2216E+02,3.2478E+02,3.2093E+02,3.22E+02,2.75382E+03,8.8910551E+05
1.447614E+09,3.2332E+02,3.2451E+02,3.2075E+02,3.2216E+02,2.21773E+03,7.2028754E+05
1.4476176E+09,3.2217E+02,3.2414E+02,3.2034E+02,3.2332E+02,3.3165E+03,1.07395482E+06
1.4476212E+09,3.2282E+02,3.2435E+02,3.2015E+02,3.2217E+02,6.19462E+03,1.99775545E+06
1.4476248E+09,3.1567E+02,3.2352E+02,3.1539E+02,3.2282E+02,1.355886E+04,4.33506978E+06
1.4476284E+09,3.1777E+02,3.2116E+02,3.1609E+02,3.1567E+02,4.78644E+03,1.52718061E+06
1.447632E+09,3.1902E+02,3.2041E+02,3.1766E+02,3.1777E+02,1.3588E+03,4.3384103E+05
1.4476356E+09,3.1895E+02,3.1984E+02,3.1724E+02,3.1902E+02,2.2966E+03,7.3713487E+05
1.4476392E+09,3.1577E+02,3.189E+02,3.1424E+02,3.1895E+02,4.16481E+03,1.32150999E+06
1.4476428E+09,3.1825E+02,3.1834E+02,3.1539E+02,3.1577E+02,2.10319E+03,6.6806703E+05
1.4476464E+09,3.178E+02,3.1951E+02,3.1722E+02,3.1825E+02,2.0359E+03,6.490239E+05
1.44765E+09,3.1949E+02,3.2059E+02,3.1759E+02,3.178E+02,3.75301E+03,1.20105779E+06
1.4476536E+09,3.1984E+02,3.2051E+02,3.1803E+02,3.1949E+02,2.39677E+03,7.6709639E+05
1.4476572E+09,3.1926E+02,3.2047E+02,3.1745E+02,3.1984E+02,1.62907E+03,5.2112056E+05
1.4476608E+09,3.185E+02,3.1987E+02,3.1794E+02,3.1926E+02,1.20362E+03,3.8592254E+05
1.4476644E+09,3.189E+02,3.198E+02,3.1804E+02,3.185E+02,1.71981E+03,5.5102009E+05
1.447668E+09,3.1821E+02,3.1949E+02,3.1738E+02,3.189E+02,2.20351E+03,7.0411965E+05
1.4476716E+09,3.1883E+02,3.1959E+02,3.1747E+02,3.1821E+02,1.87133E+03,5.965553E+05
1.4476752E+09,3.1778E+02,3.1957E+02,3.1647E+02,3.1883E+02,3.69613E+03,1.17698714E+06
1.4476788E+09,3.1743E+02,3.1887E+02,3.1642E+02,3.1778E+02,2.45052E+03,7.8095853E+05
1.4476824E+09,3.1852E+02,3.1908E+02,3.1706E+02,3.1743E+02,2.52157E+03,8.0545716E+05
1.447686E+09,3.2014E+02,3.2101E+02,3.1863E+02,3.1852E+02,3.30823E+03,1.05985914E+06
1.4476896E+09,3.1937E+02,3.204E+02,3.1878E+02,3.2014E+02,2.75151E+03,8.8550278E+05
1.4476932E+09,3.202E+02,3.2158E+02,3.1877E+02,3.1937E+02,3.56667E+03,1.1435083E+06
1.4476968E+09,3.2952E+02,3.3206E+02,3.2023E+02,3.202E+02,1.833002E+04,6.02664041E+06
1.4477004E+09,3.2859E+02,3.3007E+02,3.2711E+02,3.2952E+02,4.08843E+03,1.34752918E+06
1.447704E+09,3.2859E+02,3.2924E+02,3.2637E+02,3.2859E+02,3.73829E+03,1.22808011E+06
1.4477076E+09,3.3051E+02,3.3061E+02,3.2644E+02,3.2859E+02,4.06833E+03,1.3398788E+06
1.4477112E+09,3.3014E+02,3.3198E+02,3.2842E+02,3.3051E+02,7.44467E+03,2.46523665E+06
1.4477148E+09,3.3036E+02,3.3077E+02,3.2775E+02,3.3014E+02,4.44053E+03,1.46441022E+06
1.4477184E+09,3.3004E+02,3.3147E+02,3.2892E+02,3.3036E+02,3.14974E+03,1.04033792E+06
1.447722E+09,3.312E+02,3.3165E+02,3.2956E+02,3.3004E+02,4.17881E+03,1.38698359E+06
1.4477256E+09,3.376E+02,3.4609E+02,3.3109E+02,3.312E+02,1.604009E+04,5.42233508E+06
1.4477292E+09,3.3746E+02,3.3875E+02,3.3517E+02,3.376E+02,6.93469E+03,2.35085519E+06
1.4477328E+09,3.3466E+02,3.3735E+02,3.3357E+02,3.3746E+02,4.37463E+03,1.47361734E+06
1.4477364E+09,3.348E+02,3.361E+02,3.3353E+02,3.3466E+02,3.63501E+03,1.21970441E+06
1.44774E+09,3.3369E+02,3.3534E+02,3.329E+02,3.348E+02,3.81238E+03,1.27707357E+06
1.4477436E+09,3.3431E+02,3.3491E+02,3.3201E+02,3.3369E+02,3.66467E+03,1.22724258E+06
1.4477472E+09,3.327E+02,3.3504E+02,3.3225E+02,3.3431E+02,2.94398E+03,9.8305549E+05
1.4477508E+09,3.3269E+02,3.3352E+02,3.2998E+02,3.327E+02,3.31303E+03,1.10107182E+06
1.4477544E+09,3.3029E+02,3.3157E+02,3.2926E+02,3.3269E+02,1.269E+03,4.2227933E+05
1.447758E+09,3.3089E+02,3.3165E+02,3.2935E+02,3.3029E+02,2.18317E+03,7.2352924E+05
1.4477616E+09,3.3611E+02,3.3676E+02,3.3216E+02,3.3089E+02,4.68468E+03,1.57077824E+06
1.4477652E+09,3.3589E+02,3.3631E+02,3.338E+02,3.3611E+02,3.42106E+03,1.15089667E+06
1.4477688E+09,3.3253E+02,3.3532E+02,3.291E+02,3.3589E+02,6.34248E+03,2.11030902E+06
1.4477724E+09,3.3331E+02,3.3352E+02,3.3046E+02,3.3253E+02,3.33415E+03,1.11395362E+06
1.447776E+09,3.3338E+02,3.3434E+02,3.3179E+02,3.3331E+02,3.93594E+03,1.31337292E+06
1.4477796E+09,3.3231E+02,3.3417E+02,3.316E+02,3.3338E+02,2.74535E+03,9.157553E+05
1.4477832E+09,3.3324E+02,3.3391E+02,3.311E+02,3.3231E+02,2.78363E+03,9.2941426E+05
1.4477868E+09,3.3357E+02,3.3497E+02,3.3312E+02,3.3324E+02,3.04154E+03,1.02716814E+06
1.4477904E+09,3.341E+02,3.3489E+02,3.3314E+02,3.3357E+02,2.24361E+03,7.6041395E+05
1.447794E+09,3.3332E+02,3.3403E+02,3.3257E+02,3.341E+02,1.99679E+03,6.6657584E+05
1.4477976E+09,3.3577E+02,3.3603E+02,3.3316E+02,3.3332E+02,4.25934E+03,1.42945917E+06
1.4478012E+09,3.3383E+02,3.3654E+02,3.3269E+02,3.3577E+02,3.96013E+03,1.32860482E+06
1.4478048E+09,3.3285E+02,3.3384E+02,3.3249E+02,3.3383E+02,1.33371E+03,4.44802E+05
1.4478084E+09,3.355E+02,3.369E+02,3.3378E+02,3.3285E+02,4.76341E+03,1.5980259E+06
1.447812E+09,3.3538E+02,3.3727E+02,3.3459E+02,3.355E+02,6.15708E+03,2.07535991E+06
1.4478156E+09,3.3419E+02,3.3518E+02,3.3339E+02,3.3538E+02,2.36758E+03,7.9143511E+05
1.4478192E+09,3.3342E+02,3.3432E+02,3.3255E+02,3.3419E+02,3.23148E+03,1.07680006E+06
1.4478228E+09,3.3371E+02,3.36E+02,3.3329E+02,3.3342E+02,5.76178E+03,1.92910284E+06
1.4478264E+09,3.314E+02,3.3291E+02,3.2938E+02,3.3371E+02,6.41049E+03,2.12338533E+06
1.44783E+09,3.3226E+02,3.3253E+02,3.3064E+02,3.314E+02,2.06977E+03,6.8821065E+05
1.4478336E+09,3.3261E+02,3.3288E+02,3.308E+02,3.3226E+02,2.38085E+03,7.9165744E+05
1.4478372E+09,3.3173E+02,3.3315E+02,3.3127E+02,3.3261E+02,1.91986E+03,6.3783797E+05
1.4478408E+09,3.3154E+02,3.3234E+02,3.3052E+02,3.3173E+02,1.33543E+03,4.4533457E+05
1.4478444E+09,3.3197E+02,3.3282E+02,3.3082E+02,3.3154E+02,1.80435E+03,5.9883312E+05
1.447848E+09,3.3254E+02,3.3317E+02,3.314E+02,3.3197E+02,2.78631E+03,9.2611947E+05
1.4478516E+09,3.3448E+02,3.3521E+02,3.3159E+02,3.3254E+02,6.45832E+03,2.15574349E+06
1.4478552E+09,3.3254E+02,3.3346E+02,3.3136E+02,3.3448E+02,2.57492E+03,8.5823017E+05
1.4478588E+09,3.3271E+02,3.349E+02,3.323E+02,3.3254E+02,3.64235E+03,1.21692048E+06
1.4478624E+09,3.3298E+02,3.3347E+02,3.3244E+02,3.3271E+02,1.60152E+03,5.3345762E+05
1.447866E+09,3.3285E+02,3.3371E+02,3.3152E+02,3.3298E+02,2.47234E+03,8.2354889E+05
1.4478696E+09,3.3322E+02,3.3423E+02,3.3235E+02,3.3285E+02,2.45277E+03,8.1800494E+05
1.4478732E+09,3.3376E+02,3.3396E+02,3.3233E+02,3.3322E+02,2.27025E+03,7.57106E+05
1.4478768E+09,3.3457E+02,3.3488E+02,3.3255E+02,3.3376E+02,3.33704E+03,1.11472188E+06
1.4478804E+09,3.3359E+02,3.3485E+02,3.3314E+02,3.3457E+02,1.88192E+03,6.4035534E+05
1.447884E+09,3.3555E+02,3.3686E+02,3.3306E+02,3.3359E+02,6.11238E+03,2.06443361E+06
1.4478876E+09,3.3559E+02,3.3644E+02,3.3477E+02,3.3555E+02,3.22977E+03,1.08542648E+06
1.4478912E+09,3.3475E+02,3.3532E+02,3.3366E+02,3.3559E+02,2.35271E+03,7.8700601E+05
1.4478948E+09,3.3412E+02,3.3546E+02,3.336E+02,3.3475E+02,2.6791E+03,9.032624E+05
1.4478984E+09,3.3345E+02,3.345E+02,3.3286E+02,3.3412E+02,2.61642E+03,8.7328027E+05
1.447902E+09,3.3388E+02,3.3433E+02,3.3299E+02,3.3345E+02,1.61499E+03,5.3937695E+05
1.4479056E+09,3.3396E+02,3.356E+02,3.3368E+02,3.3388E+02,6.38983E+03,2.13995959E+06
1.4479092E+09,3.3368E+02,3.3482E+02,3.3312E+02,3.3396E+02,6.28643E+03,2.10041736E+06
1.4479128E+09,3.3396E+02,3.3444E+02,3.3308E+02,3.3368E+02,4.1974E+03,1.40341657E+06
1.4479164E+09,3.3294E+02,3.3355E+02,3.3253E+02,3.3396E+02,1.27993E+03,4.2669622E+05
1.44792E+09,3.3335E+02,3.3381E+02,3.3239E+02,3.3294E+02,1.46568E+03,4.8872318E+05
1.4479236E+09,3.3352E+02,3.3407E+02,3.3283E+02,3.3335E+02,2.20957E+03,7.400753E+05
1.4479272E+09,3.3321E+02,3.347E+02,3.3282E+02,3.3352E+02,2.20281E+03,7.3735824E+05
1.4479308E+09,3.3227E+02,3.3284E+02,3.3199E+02,3.3321E+02,1.35782E+03,4.5176829E+05
1.4479344E+09,3.3434E+02,3.3479E+02,3.3307E+02,3.3227E+02,3.34723E+03,1.11796041E+06
1.447938E+09,3.2646E+02,3.336E+02,3.2386E+02,3.3434E+02,1.353621E+04,4.44174351E+06
1.4479416E+09,3.283E+02,3.2897E+02,3.255E+02,3.2646E+02,4.19551E+03,1.37533269E+06
1.4479452E+09,3.2662E+02,3.2841E+02,3.2612E+02,3.283E+02,3.31863E+03,1.08620567E+06
1.4479488E+09,3.2649E+02,3.276E+02,3.2429E+02,3.2662E+02,6.17497E+03,2.01558414E+06
1.4479524E+09,3.2665E+02,3.2692E+02,3.2535E+02,3.2649E+02,2.85739E+03,9.3245763E+05
1.447956E+09,3.2716E+02,3.2726E+02,3.2513E+02,3.2665E+02,3.03749E+03,9.9355144E+05
1.4479596E+09,3.2752E+02,3.2841E+02,3.268E+02,3.2716E+02,1.83244E+03,6.0133715E+05
1.4479632E+09,3.2711E+02,3.2743E+02,3.2596E+02,3.2752E+02,2.85901E+03,9.3647217E+05
1.4479668E+09,3.27E+02,3.2801E+02,3.2633E+02,3.2711E+02,2.81606E+03,9.2366469E+05
1.4479704E+09,3.2658E+02,3.2798E+02,3.2606E+02,3.27E+02,2.38956E+03,7.8236079E+05
1.447974E+09,3.2519E+02,3.2732E+02,3.247E+02,3.2658E+02,5.3577E+03,1.74505146E+06
1.4479776E+09,3.2648E+02,3.2725E+02,3.2549E+02,3.2519E+02,2.86649E+03,9.3570807E+05
